image_path,id,camera,downsample,sub_id
images/00001079_00_0000.jpg,0,0,1,0
images/00001079_00_0001.jpg,0,0,1,1
images/00001079_00_0002.jpg,0,0,1,2
images/00001079_00_0003.jpg,0,0,1,3
images/00001079_01_0000.jpg,0,1,1,0
images/00001079_01_0001.jpg,0,1,1,1
images/00001079_01_0002.jpg,0,1,1,2
images/00001079_01_0003.jpg,0,1,1,3
images/00000468_00_0000.jpg,1,0,1,0
images/00000468_00_0001.jpg,1,0,1,1
images/00000468_00_0002.jpg,1,0,1,2
images/00000468_00_0003.jpg,1,0,1,3
images/00000468_01_0000.jpg,1,1,1,0
images/00000468_01_0001.jpg,1,1,1,1
images/00000468_01_0002.jpg,1,1,1,2
images/00000468_01_0003.jpg,1,1,1,3
images/00000236_00_0000.jpg,2,0,1,0
images/00000236_00_0001.jpg,2,0,1,1
images/00000236_00_0002.jpg,2,0,1,2
images/00000236_00_0003.jpg,2,0,1,3
images/00000236_01_0000.jpg,2,1,1,0
images/00000236_01_0001.jpg,2,1,1,1
images/00000236_01_0002.jpg,2,1,1,2
images/00000236_01_0003.jpg,2,1,1,3
images/00000010_00_0000.jpg,3,0,1,0
images/00000010_00_0001.jpg,3,0,1,1
images/00000010_00_0002.jpg,3,0,1,2
images/00000010_00_0003.jpg,3,0,1,3
images/00000010_01_0000.jpg,3,1,1,0
images/00000010_01_0001.jpg,3,1,1,1
images/00000010_01_0002.jpg,3,1,1,2
images/00000010_01_0003.jpg,3,1,1,3
images/00000122_00_0000.jpg,4,0,1,0
images/00000122_00_0001.jpg,4,0,1,1
images/00000122_00_0002.jpg,4,0,1,2
images/00000122_00_0003.jpg,4,0,1,3
images/00000122_01_0000.jpg,4,1,1,0
images/00000122_01_0001.jpg,4,1,1,1
images/00000122_01_0002.jpg,4,1,1,2
images/00000122_01_0003.jpg,4,1,1,3
images/00000979_00_0000.jpg,5,0,1,0
images/00000979_00_0001.jpg,5,0,1,1
images/00000979_00_0002.jpg,5,0,1,2
images/00000979_00_0003.jpg,5,0,1,3
images/00000979_01_0000.jpg,5,1,1,0
images/00000979_01_0001.jpg,5,1,1,1
images/00000979_01_0002.jpg,5,1,1,2
images/00000979_01_0003.jpg,5,1,1,3
images/00001005_00_0000.jpg,6,0,1,0
images/00001005_00_0001.jpg,6,0,1,1
images/00001005_00_0002.jpg,6,0,1,2
images/00001005_00_0003.jpg,6,0,1,3
images/00001005_01_0000.jpg,6,1,1,0
images/00001005_01_0001.jpg,6,1,1,1
images/00001005_01_0002.jpg,6,1,1,2
images/00001005_01_0003.jpg,6,1,1,3
images/00000881_00_0000.jpg,7,0,1,0
images/00000881_00_0001.jpg,7,0,1,1
images/00000881_00_0002.jpg,7,0,1,2
images/00000881_00_0003.jpg,7,0,1,3
images/00000881_01_0000.jpg,7,1,1,0
images/00000881_01_0001.jpg,7,1,1,1
images/00000881_01_0002.jpg,7,1,1,2
images/00000881_01_0003.jpg,7,1,1,3
images/00001463_00_0000.jpg,8,0,1,0
images/00001463_00_0001.jpg,8,0,1,1
images/00001463_00_0002.jpg,8,0,1,2
images/00001463_00_0003.jpg,8,0,1,3
images/00001463_01_0000.jpg,8,1,1,0
images/00001463_01_0001.jpg,8,1,1,1
images/00001463_01_0002.jpg,8,1,1,2
images/00001463_01_0003.jpg,8,1,1,3
images/00000637_00_0000.jpg,9,0,1,0
images/00000637_00_0001.jpg,9,0,1,1
images/00000637_00_0002.jpg,9,0,1,2
images/00000637_00_0003.jpg,9,0,1,3
images/00000637_01_0000.jpg,9,1,1,0
images/00000637_01_0001.jpg,9,1,1,1
images/00000637_01_0002.jpg,9,1,1,2
images/00000637_01_0003.jpg,9,1,1,3
images/00001230_00_0000.jpg,10,0,1,0
images/00001230_00_0001.jpg,10,0,1,1
images/00001230_00_0002.jpg,10,0,1,2
images/00001230_00_0003.jpg,10,0,1,3
images/00001230_01_0000.jpg,10,1,1,0
images/00001230_01_0001.jpg,10,1,1,1
images/00001230_01_0002.jpg,10,1,1,2
images/00001230_01_0003.jpg,10,1,1,3
images/00000129_00_0000.jpg,11,0,1,0
images/00000129_00_0001.jpg,11,0,1,1
images/00000129_00_0002.jpg,11,0,1,2
images/00000129_00_0003.jpg,11,0,1,3
images/00000129_01_0000.jpg,11,1,1,0
images/00000129_01_0001.jpg,11,1,1,1
images/00000129_01_0002.jpg,11,1,1,2
images/00000129_01_0003.jpg,11,1,1,3
images/00000551_00_0000.jpg,12,0,1,0
images/00000551_00_0001.jpg,12,0,1,1
images/00000551_00_0002.jpg,12,0,1,2
images/00000551_00_0003.jpg,12,0,1,3
images/00000551_01_0000.jpg,12,1,1,0
images/00000551_01_0001.jpg,12,1,1,1
images/00000551_01_0002.jpg,12,1,1,2
images/00000551_01_0003.jpg,12,1,1,3
images/00001317_00_0000.jpg,13,0,1,0
images/00001317_00_0001.jpg,13,0,1,1
images/00001317_00_0002.jpg,13,0,1,2
images/00001317_00_0003.jpg,13,0,1,3
images/00001317_01_0000.jpg,13,1,1,0
images/00001317_01_0001.jpg,13,1,1,1
images/00001317_01_0002.jpg,13,1,1,2
images/00001317_01_0003.jpg,13,1,1,3
images/00000886_00_0000.jpg,14,0,1,0
images/00000886_00_0001.jpg,14,0,1,1
images/00000886_00_0002.jpg,14,0,1,2
images/00000886_00_0003.jpg,14,0,1,3
images/00000886_01_0000.jpg,14,1,1,0
images/00000886_01_0001.jpg,14,1,1,1
images/00000886_01_0002.jpg,14,1,1,2
images/00000886_01_0003.jpg,14,1,1,3
images/00001361_00_0000.jpg,15,0,1,0
images/00001361_00_0001.jpg,15,0,1,1
images/00001361_00_0002.jpg,15,0,1,2
images/00001361_00_0003.jpg,15,0,1,3
images/00001361_01_0000.jpg,15,1,1,0
images/00001361_01_0001.jpg,15,1,1,1
images/00001361_01_0002.jpg,15,1,1,2
images/00001361_01_0003.jpg,15,1,1,3
images/00000909_00_0000.jpg,16,0,1,0
images/00000909_00_0001.jpg,16,0,1,1
images/00000909_00_0002.jpg,16,0,1,2
images/00000909_00_0003.jpg,16,0,1,3
images/00000909_01_0000.jpg,16,1,1,0
images/00000909_01_0001.jpg,16,1,1,1
images/00000909_01_0002.jpg,16,1,1,2
images/00000909_01_0003.jpg,16,1,1,3
images/00000165_00_0000.jpg,17,0,1,0
images/00000165_00_0001.jpg,17,0,1,1
images/00000165_00_0002.jpg,17,0,1,2
images/00000165_00_0003.jpg,17,0,1,3
images/00000165_01_0000.jpg,17,1,1,0
images/00000165_01_0001.jpg,17,1,1,1
images/00000165_01_0002.jpg,17,1,1,2
images/00000165_01_0003.jpg,17,1,1,3
images/00001067_00_0000.jpg,18,0,1,0
images/00001067_00_0001.jpg,18,0,1,1
images/00001067_00_0002.jpg,18,0,1,2
images/00001067_00_0003.jpg,18,0,1,3
images/00001067_01_0000.jpg,18,1,1,0
images/00001067_01_0001.jpg,18,1,1,1
