image_path,id,camera
query/0005_c2_f0046985.jpg,702,2
query/0005_c5_f0051781.jpg,702,5
query/0005_c6_f0030883.jpg,702,6
query/0019_c1_f0051470.jpg,703,1
query/0019_c2_f0055712.jpg,703,2
query/0019_c5_f0061106.jpg,703,5
query/0019_c6_f0040430.jpg,703,6
query/0021_c1_f0052336.jpg,704,1
query/0021_c6_f0030737.jpg,704,6
query/0021_c7_f0035375.jpg,704,7
query/0021_c8_f0008756.jpg,704,8
query/0023_c1_f0052564.jpg,705,1
query/0023_c2_f0056463.jpg,705,2
query/0023_c3_f0033770.jpg,705,3
query/0023_c4_f0031504.jpg,705,4
query/0025_c1_f0053650.jpg,706,1
query/0025_c8_f0010986.jpg,706,8
query/0027_c1_f0054309.jpg,707,1
query/0027_c2_f0054638.jpg,707,2
query/0027_c3_f0030042.jpg,707,3
query/0027_c4_f0023987.jpg,707,4
query/0030_c1_f0057043.jpg,708,1
query/0030_c2_f0056822.jpg,708,2
query/0030_c3_f0031952.jpg,708,3
query/0030_c4_f0026288.jpg,708,4
query/0031_c1_f0057180.jpg,709,1
query/0031_c2_f0062046.jpg,709,2
query/0031_c5_f0066705.jpg,709,5
query/0031_c6_f0045932.jpg,709,6
query/0033_c1_f0057706.jpg,710,1
query/0033_c2_f0061704.jpg,710,2
query/0033_c5_f0066543.jpg,710,5
query/0033_c6_f0045755.jpg,710,6
query/0034_c1_f0057636.jpg,711,1
query/0034_c2_f0057453.jpg,711,2
query/0035_c1_f0057672.jpg,712,1
query/0035_c2_f0057892.jpg,712,2
query/0039_c1_f0058725.jpg,713,1
query/0039_c2_f0063073.jpg,713,2
query/0039_c3_f0040399.jpg,713,3
query/0039_c4_f0037989.jpg,713,4
query/0042_c1_f0059238.jpg,714,1
query/0042_c2_f0063664.jpg,714,2
query/0042_c5_f0068874.jpg,714,5
query/0042_c6_f0048284.jpg,714,6
query/0043_c1_f0059677.jpg,715,1
query/0043_c6_f0036866.jpg,715,6
query/0043_c7_f0041987.jpg,715,7
query/0043_c8_f0015591.jpg,715,8
query/0044_c1_f0059515.jpg,716,1
query/0044_c2_f0059316.jpg,716,2
query/0044_c5_f0061197.jpg,716,5
query/0044_c6_f0037467.jpg,716,6
query/0046_c1_f0060037.jpg,717,1
query/0046_c2_f0064337.jpg,717,2
query/0046_c3_f0041496.jpg,717,3
query/0046_c4_f0039327.jpg,717,4
query/0047_c1_f0059698.jpg,718,1
query/0047_c2_f0063956.jpg,718,2
query/0047_c3_f0041514.jpg,718,3
query/0047_c4_f0039318.jpg,718,4
query/0049_c1_f0060029.jpg,719,1
query/0049_c2_f0060033.jpg,719,2
query/0050_c1_f0060180.jpg,720,1
query/0050_c2_f0064798.jpg,720,2
query/0050_c3_f0041757.jpg,720,3
query/0050_c4_f0039649.jpg,720,4
query/0051_c1_f0060060.jpg,721,1
