image_path,id,downsample
bounding_box_train/0001_c2_f0046182.jpg,0,1
bounding_box_train/0001_c2_f0046302.jpg,0,1
bounding_box_train/0001_c2_f0046422.jpg,0,1
bounding_box_train/0001_c2_f0046542.jpg,0,1
bounding_box_train/0001_c2_f0046662.jpg,0,1
bounding_box_train/0001_c2_f0046782.jpg,0,1
bounding_box_train/0001_c2_f0046902.jpg,0,1
bounding_box_train/0001_c2_f0047022.jpg,0,1
bounding_box_train/0001_c5_f0051247.jpg,0,1
bounding_box_train/0001_c5_f0051367.jpg,0,1
bounding_box_train/0001_c5_f0051487.jpg,0,1
bounding_box_train/0001_c5_f0051607.jpg,0,1
bounding_box_train/0001_c5_f0051727.jpg,0,1
bounding_box_train/0001_c5_f0051847.jpg,0,1
bounding_box_train/0001_c6_f0030329.jpg,0,1
bounding_box_train/0001_c6_f0030449.jpg,0,1
bounding_box_train/0001_c6_f0030569.jpg,0,1
bounding_box_train/0001_c6_f0030689.jpg,0,1
bounding_box_train/0001_c6_f0030809.jpg,0,1
bounding_box_train/0001_c6_f0030929.jpg,0,1
bounding_box_train/0001_c6_f0031049.jpg,0,1
bounding_box_train/0008_c1_f0044158.jpg,1,1
bounding_box_train/0008_c1_f0044278.jpg,1,1
bounding_box_train/0008_c2_f0048237.jpg,1,1
bounding_box_train/0008_c2_f0048357.jpg,1,1
bounding_box_train/0008_c2_f0048477.jpg,1,1
bounding_box_train/0008_c2_f0048597.jpg,1,1
bounding_box_train/0008_c2_f0048717.jpg,1,1
bounding_box_train/0008_c2_f0048837.jpg,1,1
bounding_box_train/0008_c2_f0048957.jpg,1,1
bounding_box_train/0008_c2_f0049077.jpg,1,1
bounding_box_train/0008_c2_f0049197.jpg,1,1
bounding_box_train/0008_c3_f0026078.jpg,1,1
bounding_box_train/0008_c3_f0026198.jpg,1,1
bounding_box_train/0008_c3_f0026318.jpg,1,1
bounding_box_train/0008_c3_f0026438.jpg,1,1
bounding_box_train/0008_c3_f0026558.jpg,1,1
bounding_box_train/0008_c3_f0026678.jpg,1,1
bounding_box_train/0008_c3_f0026798.jpg,1,1
bounding_box_train/0008_c4_f0024244.jpg,1,1
bounding_box_train/0008_c4_f0024364.jpg,1,1
bounding_box_train/0008_c4_f0024484.jpg,1,1
bounding_box_train/0008_c4_f0024604.jpg,1,1
bounding_box_train/0008_c4_f0024724.jpg,1,1
bounding_box_train/0008_c4_f0024844.jpg,1,1
bounding_box_train/0008_c4_f0024964.jpg,1,1
bounding_box_train/0008_c4_f0025084.jpg,1,1
bounding_box_train/0008_c4_f0025204.jpg,1,1
bounding_box_train/0008_c4_f0025324.jpg,1,1
bounding_box_train/0013_c1_f0047546.jpg,2,1
bounding_box_train/0013_c1_f0047666.jpg,2,1
bounding_box_train/0013_c1_f0047786.jpg,2,1
bounding_box_train/0013_c1_f0047906.jpg,2,1
bounding_box_train/0013_c1_f0048026.jpg,2,1
bounding_box_train/0013_c1_f0048146.jpg,2,1
bounding_box_train/0013_c1_f0048266.jpg,2,1
bounding_box_train/0013_c1_f0048386.jpg,2,1
bounding_box_train/0013_c2_f0052229.jpg,2,1
bounding_box_train/0013_c2_f0052349.jpg,2,1
bounding_box_train/0013_c2_f0052469.jpg,2,1
bounding_box_train/0013_c2_f0052589.jpg,2,1
bounding_box_train/0013_c2_f0052709.jpg,2,1
bounding_box_train/0013_c2_f0052829.jpg,2,1
bounding_box_train/0013_c2_f0052949.jpg,2,1
bounding_box_train/0013_c2_f0053069.jpg,2,1
bounding_box_train/0013_c2_f0053189.jpg,2,1
bounding_box_train/0013_c2_f0053309.jpg,2,1
bounding_box_train/0013_c2_f0053429.jpg,2,1
bounding_box_train/0013_c2_f0053549.jpg,2,1
bounding_box_train/0013_c5_f0057950.jpg,2,1
bounding_box_train/0013_c5_f0058070.jpg,2,1
bounding_box_train/0013_c5_f0058190.jpg,2,1
